                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.93128,                0.61712,                 1.0231,                0.63813,                0.60017,                 0.6041,                0.35264,                 1.5696,                 1.2334,                 1.3487,              0.0085857,              0.0085857,              0.0085857
                    142,                0.93093,                0.61801,                 1.0243,                0.63395,                0.56501,                 0.6059,                0.35543,                 1.5768,                 1.2324,                 1.3537,              0.0085574,              0.0085574,              0.0085574
                    143,                0.93066,                  0.615,                  1.021,                0.64257,                0.58604,                0.62068,                0.36616,                  1.566,                 1.2099,                 1.3394,              0.0085291,              0.0085291,              0.0085291
                    144,                0.93314,                0.61282,                 1.0219,                0.62256,                0.58661,                0.61963,                0.36469,                 1.5681,                 1.2042,                 1.3511,              0.0085009,              0.0085009,              0.0085009
                    145,                0.92844,                0.61157,                 1.0207,                0.64094,                0.59217,                0.61914,                0.36353,                 1.5531,                 1.2061,                 1.3371,              0.0084726,              0.0084726,              0.0084726
                    146,                0.92537,                0.61334,                 1.0204,                0.62832,                0.57839,                0.59777,                0.35745,                 1.5341,                 1.2561,                 1.3157,              0.0084443,              0.0084443,              0.0084443
                    147,                0.91929,                0.60407,                 1.0178,                0.64701,                0.56979,                0.61152,                0.36419,                 1.5475,                 1.2279,                 1.3306,               0.008416,               0.008416,               0.008416
                    148,                0.93242,                 0.6119,                 1.0191,                0.66776,                0.57935,                0.61572,                0.36382,                 1.5476,                 1.1957,                 1.3248,              0.0083877,              0.0083877,              0.0083877
                    149,                0.92199,                0.60772,                 1.0175,                 0.5963,                0.61855,                0.61281,                0.35862,                 1.5732,                 1.2117,                 1.3453,              0.0083594,              0.0083594,              0.0083594
                    150,                0.92996,                0.60555,                 1.0166,                0.66958,                0.54398,                0.60858,                0.35673,                 1.5444,                 1.2295,                   1.32,              0.0083311,              0.0083311,              0.0083311
                    151,                0.92127,                0.60835,                 1.0137,                0.68122,                0.58022,                 0.6214,                0.36309,                 1.5605,                 1.2009,                  1.328,              0.0083029,              0.0083029,              0.0083029
                    152,                0.91722,                0.60411,                 1.0161,                0.65411,                0.57492,                0.62358,                0.36515,                 1.5383,                 1.1966,                 1.3244,              0.0082746,              0.0082746,              0.0082746
                    153,                0.91812,                0.60098,                 1.0122,                0.63437,                0.60544,                0.62869,                0.36996,                 1.5336,                 1.1759,                 1.3255,              0.0082463,              0.0082463,              0.0082463
                    154,                0.91117,                0.59893,                  1.013,                0.65418,                0.57509,                0.61625,                0.36312,                 1.5395,                 1.2307,                  1.323,               0.008218,               0.008218,               0.008218
                    155,                0.91115,                0.60089,                 1.0123,                0.64405,                0.57266,                0.60929,                0.36346,                 1.5554,                 1.2305,                 1.3247,              0.0081897,              0.0081897,              0.0081897
