                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1773,                0.86308,                 1.1493,                0.62845,                0.56119,                0.60995,                  0.356,                 1.5362,                 1.2039,                 1.3101,              0.0090666,              0.0090666,              0.0090666
                     35,                 1.1614,                0.85419,                 1.1403,                0.64568,                0.54971,                0.61644,                0.34981,                 1.5544,                 1.2055,                 1.3169,              0.0090383,              0.0090383,              0.0090383
                     36,                  1.173,                0.86863,                 1.1526,                0.64598,                0.56119,                0.61058,                0.34976,                 1.5217,                 1.2189,                 1.3017,                0.00901,                0.00901,                0.00901
                     37,                 1.1555,                 0.8534,                 1.1434,                 0.6441,                 0.5502,                0.61803,                0.35178,                 1.5395,                 1.2117,                 1.3124,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.1597,                0.84764,                 1.1405,                0.64338,                0.56214,                0.61274,                0.35005,                  1.554,                 1.2315,                  1.314,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.1514,                0.83641,                  1.137,                0.62892,                 0.5671,                0.61288,                0.34937,                 1.5309,                 1.2076,                 1.3042,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.1529,                0.83851,                 1.1369,                0.58966,                0.59211,                0.60499,                0.34574,                 1.5268,                 1.2185,                 1.3078,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.1415,                0.82654,                 1.1287,                0.63405,                0.52868,                0.58358,                0.33647,                 1.5579,                 1.2476,                 1.3038,              0.0088686,              0.0088686,              0.0088686
                     42,                 1.1386,                0.83207,                 1.1267,                 0.6078,                0.55163,                0.59233,                0.34962,                  1.515,                 1.2241,                 1.3071,              0.0088403,              0.0088403,              0.0088403
                     43,                 1.1319,                0.82171,                 1.1283,                 0.6305,                0.55955,                0.61002,                0.34988,                 1.5629,                 1.2111,                 1.3162,               0.008812,               0.008812,               0.008812
                     44,                 1.1462,                0.82215,                 1.1263,                0.66851,                0.55641,                 0.6224,                0.35347,                 1.5765,                 1.1621,                 1.3244,              0.0087837,              0.0087837,              0.0087837
                     45,                 1.1251,                0.81156,                 1.1225,                0.60382,                  0.587,                0.61678,                0.35895,                 1.5386,                  1.219,                 1.3135,              0.0087554,              0.0087554,              0.0087554
                     46,                 1.1177,                0.80808,                 1.1192,                0.61861,                0.59751,                0.62503,                0.35879,                 1.5205,                 1.1914,                 1.2972,              0.0087271,              0.0087271,              0.0087271
                     47,                 1.1134,                0.79743,                 1.1172,                0.56658,                  0.587,                0.59218,                0.34553,                 1.5296,                 1.2313,                 1.3054,              0.0086989,              0.0086989,              0.0086989
                     48,                 1.1137,                0.79655,                  1.114,                0.58202,                0.60899,                0.61311,                0.35286,                 1.5434,                 1.1899,                 1.3121,              0.0086706,              0.0086706,              0.0086706
                     49,                 1.1065,                0.78767,                 1.1122,                0.64358,                0.57361,                0.61003,                0.35169,                 1.5611,                  1.185,                 1.3188,              0.0086423,              0.0086423,              0.0086423
                     50,                 1.1069,                0.78205,                 1.1113,                0.65549,                0.56214,                 0.6152,                0.35712,                  1.527,                 1.1922,                 1.3171,               0.008614,               0.008614,               0.008614
                     51,                 1.0998,                0.78442,                 1.1085,                0.60101,                0.58031,                0.59819,                0.34429,                 1.5563,                 1.2291,                 1.3369,              0.0085857,              0.0085857,              0.0085857
                     52,                 1.1008,                0.78074,                 1.1114,                0.64056,                0.54876,                0.60656,                0.35229,                  1.552,                 1.2204,                  1.311,              0.0085574,              0.0085574,              0.0085574
                     53,                 1.1002,                0.77711,                  1.105,                0.62955,                 0.5717,                0.60608,                0.34766,                 1.5601,                 1.2041,                 1.3345,              0.0085291,              0.0085291,              0.0085291
                     54,                 1.0999,                0.77446,                 1.1054,                 0.6172,                0.59656,                0.61866,                0.36001,                 1.5343,                 1.2093,                  1.313,              0.0085009,              0.0085009,              0.0085009
                     55,                  1.091,                0.76762,                 1.1027,                 0.6219,                0.56137,                0.60605,                0.34608,                 1.5693,                 1.2628,                 1.3284,              0.0084726,              0.0084726,              0.0084726
                     56,                 1.0879,                0.76868,                  1.105,                0.62838,                0.59369,                0.61435,                 0.3587,                 1.5378,                 1.2068,                 1.3126,              0.0084443,              0.0084443,              0.0084443
                     57,                 1.0766,                 0.7584,                  1.099,                0.61719,                 0.5956,                0.60542,                0.34328,                 1.5878,                 1.2343,                   1.35,               0.008416,               0.008416,               0.008416
                     58,                 1.0831,                0.76035,                 1.0985,                0.63972,                0.57935,                0.61676,                0.34768,                 1.5785,                 1.2174,                 1.3426,              0.0083877,              0.0083877,              0.0083877
                     59,                  1.077,                0.75984,                 1.0968,                0.63912,                0.56501,                0.60606,                0.35501,                 1.5379,                 1.2275,                 1.3137,              0.0083594,              0.0083594,              0.0083594
                     60,                 1.0787,                0.75134,                 1.0931,                0.63629,                0.58509,                 0.6093,                0.35338,                 1.5487,                 1.1951,                 1.3266,              0.0083311,              0.0083311,              0.0083311
